legacy_path,artifact_class,source_lane,compiled_vs_source,candidate_femic_home,status,notes
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/Documentation/*.xlsx,documentation,compiled_bundle,source_context,docs/legacy_mkrf/supporting_workbooks/,recover_first,Context workbooks covering accounts tree, AU definitions, natural disturbance, and road costs.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/Outputs/001_Base/*,reporting_output,compiled_bundle,compiled_reports,evidence/legacy_mkrf/outputs/001_Base/,recover_first,Baseline reporting package with forest, harvest, patch, target, and scenario trees.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/Outputs/z_Comparisons/*,reporting_output,compiled_bundle,compiled_reports,evidence/legacy_mkrf/outputs/z_Comparisons/,recover_first,Comparison reporting package with summary charts and HTML wrappers.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/Analyze_safe.txt,documentation,compiled_bundle,operator_hint,docs/legacy_mkrf/Analyze_safe.txt,review_needed,Small operator hint file present beside the compiled bundle.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/patchworksLog.csv,reporting_output,compiled_bundle,runtime_log,evidence/legacy_mkrf/runtime_logs/patchworksLog.csv,archival_only,Historical runtime log snapshot rather than rebuild source.
MKRF_Cosmin_Model/MKRF/03_MappingAnalysisData/Source.gdb,upstream_input,upstream_prep,source_input,data/legacy_mkrf/source_geodatabases/Source.gdb,recover_first,Probable raw/source geodatabase lane for stand and boundary preparation.
MKRF_Cosmin_Model/MKRF/03_MappingAnalysisData/Resultant.gdb,upstream_input,upstream_prep,processed_input,data/legacy_mkrf/resultant_geodatabases/Resultant.gdb,recover_first,Processed/resultant geodatabase lane derived from the source mapping workflow.
MKRF_Cosmin_Model/MKRF/03_MappingAnalysisData/Resultant_info_v1.xlsx,documentation,upstream_prep,derived_context,docs/legacy_mkrf/Resultant_info_v1.xlsx,recover_first,Workbook likely describing or auditing Resultant.gdb contents.
MKRF_Cosmin_Model/MKRF/03_MappingAnalysisData/00_Stats/*.csv,upstream_input,upstream_prep,derived_stats,data/legacy_mkrf/stats/,recover_first,Statistics and rollups used for QA and land-base/yield interpretation.
MKRF_Cosmin_Model/MKRF/03_MappingAnalysisData/03_Yields/VDYP/*,upstream_input,upstream_prep,vdyp_lane,data/legacy_mkrf/yields/vdyp/,recover_first,VDYP batch inputs, parameters, outputs, and error logs for the legacy yield-prep lane.
MKRF_Cosmin_Model/MKRF/03_MappingAnalysisData/Orthos_2016/*,unknown,upstream_prep,context_data,data/legacy_mkrf/orthos_2016/,review_needed,Orthophoto lane may be contextual only unless later proven to feed stand delineation or QA.
MKRF_Cosmin_Model/MKRF/05_Documents/MKRF_Modeling_Notes.pdf,documentation,operator_context,source_context,docs/legacy_mkrf/MKRF_Modeling_Notes.pdf,recover_first,Primary operator/context narrative discovered in the in-scope documents lane.
MKRF_Cosmin_Model/toWalter_May25_2022_noAFRF.7z,unknown,out_of_scope,archive,none,out_of_scope,Large archive explicitly excluded from milestone one unless later proven necessary.
